RestaurantID,RestaurantName,Cuisine,City,Rating,PriceCategory
2001,Grill Nation 1,North Indian,Chennai,4.3,Low
2002,Grill Nation 2,North Indian,Delhi,4.6,Medium
2003,Pizza Palace 3,South Indian,Bengaluru,4.7,Medium
2004,Sushi Bay 4,Mexican,Kolkata,4.7,High
2005,Pizza Palace 5,Italian,Kolkata,4.7,Medium
2006,Taco Town 6,Indian,Pune,3.9,Low
2007,Burger House 7,North Indian,Ahmedabad,4.1,Medium
2008,Fresh Bowl 8,South Indian,Delhi,3.7,Medium
2009,Burger House 9,Italian,Hyderabad,4.1,Low
2010,Fresh Bowl 10,Fast Food,Ahmedabad,3.8,Medium
2011,Curry Leaf 11,Fast Food,Chennai,4.6,Low
2012,Burger House 12,Indian,Mumbai,4.1,High
2013,Spice Garden 13,South Indian,Bengaluru,4.8,High
2014,Curry Leaf 14,Japanese,Bengaluru,4.7,Low
2015,Spice Garden 15,South Indian,Chennai,4.4,Low
2016,Burger House 16,Chinese,Pune,3.9,High
2017,Royal Tandoor 17,Italian,Pune,3.9,Low
2018,Biryani Hub 18,Indian,Chennai,4.8,High
2019,Burger House 19,Mexican,Bengaluru,4.0,Medium
2020,Pizza Palace 20,South Indian,Chennai,4.3,Low
2021,Wok Express 21,North Indian,Bengaluru,4.3,Low
2022,Spice Garden 22,Japanese,Mumbai,4.8,Low
2023,Dosa Delight 23,Indian,Bengaluru,3.6,Medium
2024,Taco Town 24,Japanese,Mumbai,4.4,Medium
2025,Burger House 25,Mexican,Pune,3.6,Medium
2026,Biryani Hub 26,Japanese,Mumbai,3.6,Medium
2027,Royal Tandoor 27,Chinese,Ahmedabad,4.8,Low
2028,Curry Leaf 28,Healthy,Chennai,3.8,High
2029,Curry Leaf 29,Japanese,Pune,4.2,Low
2030,Biryani Hub 30,North Indian,Ahmedabad,4.2,Low
2031,Curry Leaf 31,Fast Food,Chennai,4.2,Medium
2032,Curry Leaf 32,Mexican,Bengaluru,4.4,Medium
2033,Dosa Delight 33,Healthy,Ahmedabad,3.8,Low
2034,Royal Tandoor 34,Healthy,Mumbai,3.6,Low
2035,Dosa Delight 35,North Indian,Kolkata,4.3,Low
2036,Sushi Bay 36,Italian,Mumbai,4.5,High
2037,Biryani Hub 37,Japanese,Ahmedabad,4.0,Low
2038,Pizza Palace 38,South Indian,Ahmedabad,4.8,Low
2039,Sushi Bay 39,Healthy,Bengaluru,4.0,High
2040,Biryani Hub 40,Chinese,Hyderabad,4.6,High
2041,Pizza Palace 41,Fast Food,Hyderabad,4.1,Medium
2042,Grill Nation 42,Japanese,Kolkata,3.8,High
2043,Wok Express 43,South Indian,Pune,4.8,Medium
2044,Biryani Hub 44,Indian,Pune,4.4,High
2045,Pizza Palace 45,South Indian,Kolkata,3.6,High
2046,Spice Garden 46,Mexican,Hyderabad,4.6,Medium
2047,Wok Express 47,Indian,Bengaluru,3.8,High
2048,Sushi Bay 48,North Indian,Kolkata,4.5,Medium
